Group,x,y,t,s
I,42.04387711,-56.30085116,0,1
I,40.23079331,22.54097611,1,1
H,33.41934602,338.9497576,0,1
G,17.69885354,-86.97839077,0,1
I,-3.420269202,-49.96471043,1,0
H,4.883126692,390.5146449,0,1
G,-11.30270786,14.56560101,1,1
H,29.20274468,559.7566128,0,0
H,22.92460093,357.5689513,0,0
F,-6.635901633,344.6137813,1,0
H,-40.68474637,68.46878181,0,1
I,4.390459988,-185.5782444,0,0
H,-12.77349708,282.7187838,0,0
I,-23.07230139,76.68650488,1,0
F,51.98466047,-315.5503288,1,1
H,-21.19987105,249.0969298,1,1
H,-72.98435355,-171.3731441,0,1
H,-50.11532241,37.96871094,0,0
F,-22.96762512,293.2087674,1,0
H,-23.39517875,-87.70595397,0,1
H,-14.08313403,243.9711232,0,1
H,-44.57512421,-92.71966441,0,1
I,18.24261768,389.863533,1,1
H,7.862501734,430.3871078,0,1
G,8.860739686,-55.16329948,1,0
G,7.16053495,131.3520491,0,0
H,-17.290305,409.5871272,0,1
G,6.387632953,-124.8993068,1,1
I,-8.149069657,-11.5327792,1,1
H,20.812592,245.1002955,0,1
H,29.61562158,777.0462112,0,1
G,-11.02725188,461.4157021,1,0
G,-19.02961178,116.5271389,1,1
H,7.396126193,626.602831,0,0
I,10.06279656,-217.9513224,0,1
H,48.88148242,966.129551,0,0
I,-24.52606258,134.5151725,1,1
G,13.20816101,-68.4952908,1,0
H,-66.06042653,-90.17200653,0,0
F,-9.355675193,398.9014081,1,0
G,-17.05687456,381.9907274,1,1
F,4.232390128,190.3196703,1,1
H,-22.00344575,-56.41633041,0,1
F,15.24925143,163.1402514,1,0
F,-26.16986523,635.6997269,1,1
F,-2.610168746,390.9917185,1,1
H,-11.87004722,235.7724255,0,1
H,-70.79352622,-145.8221136,0,1
G,0.721596318,343.1647615,1,0
F,1.754197127,485.7221248,1,0
G,17.43976024,182.237307,0,1
I,-1.206310982,19.91264436,1,0
F,20.33970522,41.79584105,1,1
G,17.08720652,56.50667625,1,0
I,-17.99400677,54.13946138,1,1
G,-12.5522901,371.5682116,1,0
I,4.596684456,-52.47410723,0,1
H,-7.829219275,83.27112792,0,0
I,19.46792837,174.6481372,1,1
I,-8.705069416,52.52047227,0,1
I,-14.9341862,-171.855443,1,0
G,-1.490774182,106.1990466,1,1
G,-24.50637516,84.85513354,1,1
G,-0.881240726,11.54005015,1,1
H,-1.440221606,425.6667302,0,0
H,-57.09213361,-205.7314807,0,0
H,-21.9249655,160.2130391,0,0
F,-4.482741688,264.5244209,1,0
F,17.29172365,241.8310672,1,0
F,18.41959853,108.7113394,1,0
F,19.9452562,51.38521732,1,0
F,42.11003897,70.40819922,1,0
F,43.77102339,-231.5109868,1,0
I,16.95314944,-51.03839311,0,0
F,-15.04938704,386.8268166,1,0
I,-32.59601697,-149.6905228,1,0
I,0.55546352,39.14299056,1,1
H,13.99479286,307.264959,0,1
G,18.07948803,-56.13840481,1,0
G,17.55221509,-103.8323575,0,1
F,59.51011843,-72.65150513,1,0
G,-22.2890888,453.8485584,1,0
H,15.58387937,245.0424622,0,0
H,31.35835194,638.6549361,0,1
I,9.996367547,61.47551671,1,0
I,30.22427452,-269.171617,1,0
G,30.09363784,-287.1813519,1,0
H,-28.48613868,127.0893362,0,0
G,-3.043282537,130.4294817,1,1
F,-14.35611749,383.578459,1,0
F,-9.262364248,283.8857606,1,0
H,-24.47684316,126.3748054,0,1
G,-2.356436692,188.9091988,1,0
F,26.44396543,176.8617451,1,1
G,-5.239687318,50.31791567,1,0
F,-5.150409419,181.7595419,1,1
I,36.97539911,8.151169485,1,1
F,-9.128941083,-51.47950212,1,1
H,-33.39977459,-178.8864913,0,0
I,13.29896372,3.373148631,0,1
F,-8.644225496,344.5818963,1,0
I,-36.0000921,210.6815647,1,0
I,-10.04714166,-20.82088324,1,0
H,-7.624598958,162.6301858,0,0
G,-2.767996843,72.33221571,1,1
I,-14.39947672,59.37054569,1,1
F,-6.588112239,78.48368109,1,1
H,-13.0160666,-27.68846972,0,1
I,-8.927619678,-195.939453,0,0
F,33.79565414,-272.0240714,1,0
G,17.38536675,7.750876735,0,1
G,10.38939317,-13.95203363,1,1
F,10.7025161,68.42680372,1,0
H,-10.03278677,17.40137943,0,1
G,-2.878502296,-29.53448405,0,0
F,-9.660099577,455.0888051,1,1
G,25.3467508,-81.2898812,1,0
I,-5.869727522,-205.7384891,0,1
H,-19.66572847,319.5985755,0,1
I,9.025494345,-79.71521104,1,1
F,61.38554622,-386.1023547,1,1
I,-14.19113335,-46.96065771,1,1
G,1.147574319,211.2087025,1,0
F,30.46487481,0.837978898,1,1
I,31.10965117,142.5590846,1,0
I,-23.98015554,101.5921462,1,1
H,-10.94327263,278.0452197,0,1
G,4.18710263,-23.19950184,1,1
I,-6.997511184,14.1636023,1,0
I,-4.041892843,48.66861511,1,1
I,-9.081406607,62.10060678,1,1
G,10.09359048,104.0104485,1,0
G,47.29081569,-315.4102678,0,1
H,-29.40416382,178.7495962,0,1
F,36.51473192,-144.4509622,1,0
F,-6.341234678,513.7491396,1,1
H,-24.53269115,188.7080866,0,1
F,20.96739571,28.51763181,1,0
H,8.010760014,218.9058321,0,0
H,27.24517679,472.3743143,0,0
G,26.90673666,111.0494902,1,0
G,30.24913377,-209.3248232,0,0
G,13.35682781,1.289264022,1,1
I,-18.13526452,-45.02078475,1,0
H,-40.14141707,66.45938921,0,1
I,2.654398483,24.84614979,1,1
G,24.18956894,-193.8706604,1,0
H,26.19069985,558.3442955,0,0
F,-5.055046483,329.970349,1,0
I,-21.83908013,-73.2542725,1,1
G,-11.50018843,495.4145152,1,0
G,-11.83610226,104.9782433,1,1
F,30.89568182,-303.0497023,1,0
H,-12.86978359,88.29992317,0,1
G,23.02387057,-173.6847355,1,1
H,-24.8867928,-28.04461947,0,0
F,65.93322041,-511.8021281,1,0
I,18.65954957,60.49278885,0,1
G,-10.45325354,240.1198477,1,1
F,18.65526338,-61.66923685,1,1
F,-2.024732067,417.8969932,1,1
G,3.495172959,-65.3269863,1,0
G,-4.979330881,142.6294153,1,1
G,-7.304857561,343.4958698,1,1
H,-6.428463046,309.9721997,0,0
F,-2.053868699,218.2946251,1,0
I,16.70727268,-297.4611728,1,1
F,5.872155189,139.481909,1,1
H,-40.48940087,116.5337566,1,1
F,6.571332796,234.3531417,1,0
G,3.001174036,117.4597256,1,1
I,6.562696271,42.67053582,1,1
F,11.2617645,353.9658159,1,1
I,-18.13286852,28.53435071,1,0
I,-10.64129203,-101.4596597,1,1
G,-10.91648776,395.3847189,1,1
H,-24.20906215,-113.5622664,0,1
I,-31.45235249,34.17394997,1,0
H,19.43222037,319.9307505,0,0
G,23.51535667,-4.693120237,1,1
F,-6.893827,223.6122633,1,0
G,-24.82413751,402.5579789,1,1
H,-3.535306887,179.3444852,0,1
F,-6.411788151,283.0114057,1,1
F,8.327003864,237.6318441,1,0
I,4.147015272,196.7658773,0,0
H,-31.36379707,56.30617268,0,0
I,18.82983281,17.66527842,0,0
H,-23.24624112,32.12129055,0,0
H,-39.58522572,182.4564187,0,0
G,1.387547772,143.603193,1,0
F,62.92957485,-541.5739779,1,1
F,32.25189137,-238.098766,1,1
G,-7.859143489,611.8051258,1,1
I,0.548436436,-116.7909323,0,0
G,1.656814875,-134.3963272,1,1
I,7.99968547,-133.0515605,0,0
F,59.17653536,-357.7151239,1,0
H,-53.99293974,-145.1286329,0,1
I,-24.1347492,122.5865756,0,1
G,-15.46758813,466.8850303,1,0
G,-18.0555784,524.4739577,1,0
H,-0.708330871,65.5513501,0,1
H,-30.43695248,127.0401342,0,0
G,-3.184305332,99.03861995,1,1
G,38.32502701,-181.1459203,1,0
G,32.24823179,131.0139503,1,0
G,-8.045030091,94.88899546,1,1
I,7.186878806,-83.62661582,1,0
H,17.39826048,304.9944285,0,1
G,-4.089882651,345.9274628,1,1
I,23.20297079,383.3803142,1,0
I,7.461841868,60.14210371,0,1
F,-3.510721171,196.6381534,1,0
F,-9.777166249,138.2899044,1,0
G,-16.46843386,496.2031874,1,0
I,-5.98166628,-113.803041,0,0
I,-16.28494879,-4.995622338,1,1
I,60.43398446,74.85235587,1,1
F,35.42390693,6.817872127,1,0
H,4.578335551,207.7068563,0,0
F,3.861201231,141.4784549,1,1
I,-22.5429934,192.1441008,1,0
I,32.92984189,-6.146049934,1,0
I,-5.043256997,-70.00487645,1,1
F,34.52974853,-62.46186651,1,0
F,6.634765737,324.018792,1,1
H,-33.71281233,91.28286624,0,1
F,34.65174524,-63.8096204,1,0
I,-11.85690734,105.6222423,1,0
G,17.88821757,-115.8271986,1,1
F,-21.15225823,323.4569485,1,1
F,63.2350944,-545.4811221,1,1
H,-41.92138517,30.45609644,0,1
G,-5.841308663,363.3075497,1,1
I,-2.834699681,-152.4356484,1,1
H,-10.97868043,532.4404726,0,1
I,-19.0877499,188.0655801,0,1
F,3.487669818,319.1589913,1,1
I,20.73850731,56.83000774,0,1
H,-38.44018982,40.34852075,0,0
H,-34.69793789,170.3703145,0,0
I,35.68228645,174.1533806,1,1
I,22.90789229,-124.9359417,1,1
F,13.639064,140.5837266,1,1
I,15.53004021,98.42287438,0,0
H,-36.32370976,30.56533491,0,1
I,23.84352864,233.6431422,0,0
H,2.921000297,477.6687261,0,0
G,30.68277388,127.1776071,1,1
H,8.714667759,458.2986722,0,1
G,-12.86572115,280.7118186,1,1
H,-24.10626168,143.794001,0,0
I,-3.252933643,15.39777279,1,0
F,16.06254441,67.93737666,1,0
F,29.32367757,-225.2575221,1,0
I,19.95467218,-1.594336693,0,0
G,-20.73210561,46.85687849,1,1
I,20.43150729,43.82819539,1,0
I,4.472349815,9.170286186,1,0
F,49.37829771,-141.8777731,0,1
H,-57.86256236,-277.0104345,0,0
H,-32.8957551,176.6595933,0,1
I,-13.65407901,-8.660639047,1,0
G,7.925230265,171.9244632,1,0
G,8.950006735,181.8737487,0,0
G,-7.895338656,431.5054798,1,0
H,3.938876525,422.0113725,0,1
I,-1.260663156,101.2255445,1,1
I,-15.64446842,194.1614501,0,1
I,-10.08565443,27.97808857,0,0
H,-43.39458548,141.984756,0,1
F,18.15601167,-290.5612634,1,1
G,-7.974769874,-133.6027106,1,0
G,19.42149193,17.40761845,1,1
I,-9.48771448,48.60118277,0,1
I,-15.84800497,23.27926727,1,0
H,-4.857930578,296.0165783,1,1
F,-44.46704427,470.1951364,1,0
I,16.97945562,76.27742107,1,1
H,-55.90813747,132.867935,0,0
I,38.20478738,-34.88560934,1,1
I,10.26198592,216.6732759,1,1
H,19.47804975,380.8759093,0,1
G,3.250586161,401.1489828,1,0
I,-10.43499401,-49.90107977,1,1
I,53.90991427,-127.6734117,1,1
G,-4.629767715,377.9417624,1,1
G,8.660551223,-23.49868669,1,0
H,-13.84151059,184.0624233,0,1
F,5.206561052,435.8979811,1,1
I,28.60331637,-131.6655687,1,1
F,46.11053934,-226.546601,1,1
I,-27.98096446,-98.98240423,1,1
F,11.84583023,-1.57717525,1,1
G,28.6151872,235.6089434,1,0
G,9.597708755,214.5293743,1,0
H,5.791265098,197.7037745,0,0
H,-28.99801024,206.1654799,0,1
H,25.12129504,621.4039907,0,0
I,17.18229147,204.7715468,0,0
G,-16.83439674,292.9241855,1,1
I,-6.331025744,-130.1287676,1,1
F,26.62122115,217.9106715,1,1
F,-6.132524116,147.6233276,1,1
H,24.72059288,518.5771615,0,0
F,-1.946506506,357.0667211,1,1
F,-29.12926148,545.1544686,1,0
H,3.345420058,352.7945934,0,1
I,28.17246531,-80.97401273,1,0
H,-57.84084626,157.5286676,0,0
G,-0.072059157,537.8228376,1,0
H,-42.43996599,83.7474373,0,0
H,26.97935682,260.9667522,0,0
F,39.25316253,-385.1391593,1,1
H,-3.943362084,316.617963,0,1
I,17.27731007,-126.5493878,1,1
I,17.51250243,45.13728452,0,0
G,-9.288476168,215.141703,1,0
I,-7.631430353,117.5137269,1,1
F,-6.459259399,146.8344295,1,0
I,25.46525189,15.72796495,0,1
F,-0.548020361,169.6675534,1,0
I,44.29200503,94.77270181,0,1
H,43.57278472,701.30623,0,0
F,6.120092322,-94.97648007,1,0
G,14.77746193,-116.1092557,1,0
I,2.998535471,110.8097887,1,0
F,15.04784671,315.1172387,0,1
H,-22.39427366,2.522447273,0,1
G,20.36835993,86.2411451,1,1
G,15.53011522,186.4857483,1,0
F,44.75053521,-129.2410655,1,1
F,34.24650859,86.79951424,1,0
G,12.13138812,139.7753942,1,0
H,6.724264903,409.3785865,0,1
I,11.39944428,46.69274384,1,0
F,18.96396671,203.9153505,1,1
F,10.99243738,13.4920954,0,1
I,8.53467241,-23.52808716,1,0
F,-4.875536784,160.0444112,1,1
I,11.91765207,27.14590689,1,1
I,-24.74813719,-74.73942582,1,1
G,26.47905833,-143.8599045,1,1
H,-37.06094976,138.852389,0,0
G,-1.176701358,110.0628654,1,0
G,29.71394735,-15.45058332,1,0
I,-13.97447858,100.6123718,0,0
H,-32.64874091,-99.78242061,0,1
G,13.87978733,87.32960816,1,0
H,-29.61067922,153.4753037,0,1
I,21.34663176,94.07384639,1,1
G,16.27508909,193.8372051,1,1
G,28.49731852,-172.0334385,1,0
I,9.664043711,92.67891022,1,0
G,-9.881052458,501.7854727,1,1
I,9.369831276,-89.88559673,1,1
G,26.13796721,-11.98579968,1,1
H,-23.35749521,65.46560921,0,0
H,-39.5192902,127.1995806,0,0
G,-10.25312104,320.0484616,1,0
F,40.71707992,-399.4174194,1,0
G,-15.0489441,346.8621538,1,1
F,44.98041509,-278.3975369,1,0
G,3.745728242,1.27745049,1,0
I,-3.52948833,96.32018079,0,0
F,14.78161253,154.3223589,1,1
I,11.79399753,36.30526658,1,1
H,18.01723303,477.1460848,0,1
F,33.45363587,-76.49530685,0,0
G,22.17040462,-21.13734357,1,0
G,-4.431041887,195.3958167,1,0
H,-13.0166089,271.7643125,0,1
I,15.56844181,-19.34329544,0,1
G,-0.9925082,241.4267084,1,1
G,34.05964128,-33.96713437,0,0
G,-25.23044494,436.7329629,1,1
H,19.40709286,522.2221393,0,0
F,38.48411509,-184.8928104,1,1
F,7.950206941,52.48237919,1,0
F,9.242473639,21.85381303,1,0
F,39.77432476,-321.335823,1,1
H,52.26833382,638.111261,0,1
G,-18.689414,365.8172456,1,1
G,3.051383623,-167.9835916,1,0
F,-2.629099663,182.0400835,1,1
I,38.41218693,68.17334487,0,0
F,-10.25339266,117.0981155,1,0
I,-7.33184164,-40.4142028,0,0
F,11.51526161,134.1075779,1,0
F,22.399329,43.70642927,0,0
H,-3.984386028,355.8424641,0,1
H,-2.891392822,284.9716495,1,1
I,-3.251539094,1.798059663,0,0
H,0.329679565,475.0044101,0,1
G,32.1714578,161.712618,1,1
F,21.41723975,-84.62091059,1,1
H,-25.06493021,32.90376409,0,1
H,18.38317634,459.5427063,0,1
F,13.01326738,428.9220265,1,0
I,14.46991751,190.6537118,1,0
F,14.15010165,190.0502889,1,1
G,35.53587739,125.2731986,1,0
F,29.8367504,-221.3525416,1,0
I,25.55470679,27.09850003,1,1
F,3.211095149,340.867759,1,1
I,10.66307803,132.5651504,1,0
F,-14.51992796,403.7815101,1,0
G,-22.41180814,339.6946053,1,1
I,-15.72686878,-45.20521582,1,0
F,32.96801315,-338.6265878,1,0
F,1.07924579,167.2401688,1,1
F,16.04203895,320.1568245,1,0
F,37.26263075,-100.2424555,1,0
H,0.374217949,406.8618893,0,0
H,-15.10572846,306.7266075,0,0
H,36.9034358,479.1555644,0,1
H,-28.70123793,220.6879948,0,1
F,62.86921057,-226.8607112,1,0
G,-2.272337832,-1.890990498,1,1
I,0.309651259,-92.92663963,1,0
F,18.31949403,-180.0604408,1,0
I,-11.77129592,-86.26647317,0,0
H,19.53483506,559.2142917,0,0
I,-1.988769688,-54.51420799,1,1
H,-28.05897123,120.5898224,0,1
I,-27.59301364,134.3395656,1,1
F,39.30674672,-384.6964064,1,1
I,6.969229729,58.00605238,0,1
H,-6.393893585,341.0087241,0,1
F,21.79764974,-78.21654558,1,1
